TT,Đối tác, Số dự án cấp mới , Vốn đăng ký cấp mới (triệu USD) , Số lượt dự án điều chỉnh ," Vốn đăng ký điều chỉnh
(triệu USD) ", Số lượt góp vốn mua cổ phần ," Giá trị góp vốn, mua cổ phần 
(triệu USD) ",Năm
374, Hậu Giang , 6 , 145.54 , 2 , 8.00 , 3 , 0.50 ,2021
375, Kon Tum , 1 , 152.87 , -   , -   , 1 , 0.53 ,2021
376, Nam Định , 3 , 3.60 , 15 , 55.77 , 7 , 89.71 ,2021
377, Tiền Giang , 2 , 2.06 , 4 , 134.40 , 3 , 1.47 ,2021
378, Bình Định , 4 , 80.34 , 3 , 12.40 , 12 , 21.15 ,2021
379, Quảng Trị , 2 , 91.76 , -   , -   , 2 , 11.03 ,2021
380, Ninh Thuận , 1 , 4.00 , -   , -   , 12 , 74.76 ,2021
381, Quảng Bình , 1 , 54.60 , -   , -   , 3 , 1.48 ,2021
382, Yên Bái , 7 , 48.50 , -   , -   , 7 , 6.77 ,2021
383, Vĩnh Long , 6 , 13.74 , 6 , 33.69 , 3 , 2.88 ,2021
384, Đồng Tháp , 4 , 42.76 , -   , -   , 4 , 4.95 ,2021
385, Quảng Ngãi , 2 , 24.95 , 2 , 17.06 , -   , -   ,2021
386, Quảng Nam , 7 , 15.21 , 6 , 13.09 , 40 , 11.66 ,2021
387, Khánh Hòa , 1 , 6.75 , 5 , 25.14 , 63 , 5.89 ,2021
388, Cà Mau , 1 , 4.31 , 1 , 0.88 , 2 , 30.15 ,2021
389, Bình Thuận , 2 , 12.35 , -   , -   , 10 , 2.10 ,2021
390, Lâm Đồng , 1 , 2.00 , 2 , 3.37 , 31 , 7.22 ,2021
391, Trà Vinh , 1 , 0.25 , 2 , 8.71 , 4 , 3.09 ,2021
392, An Giang , 1 , 11.00 , -   , -   , 3 , 0.94 ,2021
393, Hà Tĩnh , -   , -   , -   , -   , 13 , 11.75 ,2021
394, Lào Cai , 1 , 3.93 , -   , -   , 1 , 7.57 ,2021
395, Đăk Nông , 1 , 7.65 , -   , -   , -   , -   ,2021
396, Kiên Giang , -   , -   , -   , -   , 22 , 6.39 ,2021
397, Lạng Sơn , -   , -   , -   , -   , 1 , 6.00 ,2021
398, Gia Lai , -   , -   , 1 , 1.20 , 1 , 0.41 ,2021
399, Phú Yên , 1 , 1.11 , -   , -   , -   , -   ,2021
400, Cao Bằng , -   , -   , -   , -   , 1 , 0.86 ,2021
401, Lai Châu ,,,,, 2 , 0.55 ,2021
402, Sóc Trăng , -   , -   , 1 , 0.50 , -   , -   ,2021
403, Bạc Liêu , 1 , 0.00 , -   , -   , 1 , 0.20 ,2021
404, Hòa Bình , -   , -   , -   , -   , 2 , 0.12 ,2021
405, Tuyên Quang , 1 , 2.00 , 1 , (15.07), 1 , 0.37 ,2021
406, Bến Tre , 3 , 63.13 , 5 , (91.76), 6 , 12.53 ,2021
407, TP. Hồ Chí Minh , 893 , 601.07 , 192 ," 1,600.72 "," 2,411 "," 1,738.61 ",2022
408, Bình Dương , 68 ," 1,909.08 ", 26 , 37.11 , 186 ," 1,196.48 ",2022
409, Quảng Ninh , 9 ," 2,181.17 ", -   , -   , 6 , 186.99 ,2022
410, Bắc Ninh , 147 , 503.09 , 123 ," 1,685.63 ", 60 , 55.19 ,2022
411, Hải Phòng , 91 ," 1,139.00 ", 41 , 792.74 , 26 , 31.48 ,2022
412, Hà Nội , 365 , 233.27 , 206 , 842.53 , 387 , 630.03 ,2022
413, Thái Nguyên , 5 , 323.00 , 11 ," 1,212.16 ", 7 , 10.47 ,2022
414, Đồng Nai , 51 , 485.19 , 90 , 593.54 , 66 , 173.37 ,2022
415, Bắc Giang , 36 , 438.96 , 45 , 678.16 , 30 , 97.50 ,2022
416, Bà Rịa - Vũng Tàu , 17 , 282.13 , 7 , 50.22 , 22 , 621.87 ,2022
417, Nghệ An , 19 , 490.51 , 2 , 400.00 , 2 , 0.17 ,2022
418, Long An , 61 , 468.89 , 83 , 315.15 , 58 , 62.34 ,2022
419, Hưng Yên , 21 , 316.77 , 58 , 387.35 , 19 , 41.99 ,2022
420, Phú Thọ , 8 , 406.87 , 20 , 288.59 , 3 , 5.21 ,2022
421, Tây Ninh , 18 , 537.80 , 19 , 155.03 , 7 , 5.49 ,2022
422, Hà Nam , 19 , 176.86 , 38 , 350.59 , 3 , 0.76 ,2022
423, Hải Dương , 17 , 59.44 , 33 , 306.01 , 21 , 5.16 ,2022
424, Thái Bình , 8 , 219.82 , 5 , 86.29 , 2 , 1.75 ,2022
425, Hà Tĩnh , 1 , 275.00 , -   , -   , 2 , 1.13 ,2022
426, Vĩnh Phúc , 28 , 225.47 , 3 , 18.44 , 4 , 0.61 ,2022
427, Bình Phước , 33 , 121.03 , 21 , 93.19 , 4 , 11.67 ,2022
428, Tiền Giang , 9 , 40.68 , 4 , 181.05 , 1 , 0.04 ,2022
429, Thừa Thiên Huế , 6 , 197.31 , 2 , 0.02 , 2 , 0.17 ,2022
430, Cần Thơ , 6 , 174.23 , 2 , 2.34 , 9 , 9.39 ,2022
431, Vĩnh Long , 4 , 102.24 , 12 , 53.59 , 1 , 0.13 ,2022
432, Đà Nẵng , 47 , 69.88 , 35 , 5.79 , 49 , 58.33 ,2022
433, Sóc Trăng , 2 , 110.03 , 1 , 1.80 , 1 , 4.54 ,2022
434, Thanh Hóa , 7 , 69.33 , 5 , 27.40 , 4 , 0.78 ,2022
435, Ninh Thuận , 1 , 6.00 , -   , -   , 12 , 81.56 ,2022
436, Quảng Ngãi , 4 , 73.42 , 2 , 13.50 , 1 , 0.00 ,2022
437, Quảng Nam , 5 , 68.24 , 3 , 1.70 , 19 , 9.30 ,2022
438, Ninh Bình , 5 , 16.51 , 1 , 2.02 , 5 , 48.84 ,2022
439, Nam Định , 7 , 43.02 , 4 , 2.95 , 6 , 11.62 ,2022
440, Bình Định , 2 , 4.32 , 2 , 15.15 , 6 , 14.74 ,2022
441, Bình Thuận , 2 , 16.06 , 1 , 0.21 , 5 , 8.51 ,2022
442, An Giang , 2 , 23.00 , 1 , 1.50 , 2 , 0.14 ,2022
443, Đăk Lăk , 2 , 5.65 , 2 , 3.94 , 2 , 1.24 ,2022
444, Yên Bái , 3 , 6.61 , -   , -   , 6 , 3.10 ,2022
445, Khánh Hòa , 1 , 0.77 , -   , -   , 55 , 7.92 ,2022
446, Kiên Giang , 1 , 2.00 , -   , -   , 11 , 2.67 ,2022
447, Trà Vinh , 1 , 3.00 , 1 , 0.03 , -   , -   ,2022
448, Bến Tre , 1 , 1.08 , 1 , (0.45), 3 , 2.23 ,2022
449, Phú Yên , -   , -   , -   , -   , 2 , 1.83 ,2022
450, Lạng Sơn ,,, -   , -   , 1 , 1.72 ,2022
451, Hòa Bình , -   , -   , -   , -   , 3 , 1.44 ,2022
452, Tuyên Quang , -   , -   , -   , -   , 4 , 0.86 ,2022
453, Đăk Nông , -   , -   , 1 , 0.49 , 1 , 0.13 ,2022
454, Kon Tum , -   , -   , -   , -   , 3 , 0.57 ,2022
455, Quảng Trị , -   , -   , -   , -   , 3 , 0.47 ,2022
456, Hậu Giang , 1 , 0.01 , -   , -   , 3 , 0.28 ,2022
457, Cà Mau , -   , -   , -   , -   , 2 , 0.14 ,2022
458, Gia Lai , -   , -   , -   , -   , 1 , 0.11 ,2022
459, Lâm Đồng , 1 , 0.04 , 3 , (9.38), 17 , 3.02 ,2022
460, Bạc Liêu , 1 , 18.35 , 1 , (79.30), -   , -   ,2022
